시도,시군,업종,업소명,연락처,주소,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3,메뉴4,가격4
서울특별시,종로구,양식,돈까스보라,02-741-3455,서울특별시종로구대학로5길5(연건동),수제돈까스,7000,돈까스정식,8000,,,,
서울특별시,종로구,한식_일반,삼삼뚝배기,02-765-4683,서울특별시종로구동숭길51(동숭동),된장뚝배기,7000,김치찌개,7000,,,,
서울특별시,종로구,기타요식업,약속커피숍,02-764-1100,서울특별시종로구종로302(창신동),맥심커피,2000,녹차,2000,,,,
서울특별시,종로구,미용업,영미용실,02-743-6052,서울특별시종로구지봉로62(숭인동),커트,8000,파마,20000,,,,
서울특별시,종로구,기타요식업,왕관커피숍,02-2266-8365,서울특별시종로구종로222(종로5가),커피,2000,국산차,2000,,,,
서울특별시,종로구,미용업,은미용실,02-738-1882,서울특별시종로구사직로108-6(내자동),커트,5000,파마,25000,,,,
서울특별시,종로구,이용업,이레이발관,,서울특별시종로구수표로115(낙원동),커트,7000,염색,8000,,,,
서울특별시,종로구,미용업,이소빈머리나라,02-766-0545,서울특별시종로구명륜길9(명륜3가),커트,8000,파마,25000,,,,
서울특별시,종로구,미용업,인터미용실,02-922-6363,서울특별시종로구숭인동길46(숭인동),커트,12000,파마,35000,,,,
서울특별시,종로구,이용업,종묘이용원,,서울특별시종로구종로146(종로3가),커트,7000,염색,7000,,,,
서울특별시,종로구,이용업,파고다이용원,,서울특별시종로구종로17길12(종로2가),커트,6000,염색,6000,,,,
서울특별시,종로구,한식_일반,전주콩나물국밥,02-738-8223,서울특별시종로구자하문로3(내자동),콩나물국밥,7000,순두부찌개,7000,,,,
서울특별시,종로구,한식_일반,먹고갈래지고갈래,02-3673-1239,서울특별시종로구수표로117(낙원동),삼계탕,13000,산채비빔밥,7000,,,,
서울특별시,종로구,한식_육류,수원성갈비,02-745-3576,서울특별시종로구창신3길9(창신동),돼지갈비(250g),13000,돼지갈비(250g)(포장),12000,소생왕갈비(250g),27000,,
서울특별시,종로구,기타비요식업,㈜추억을파는극장(허리우드클래식),02-3672-4235,서울특별시종로구삼일대로428(낙원동4층),영화입장권(경로),2000,,,,,,
서울특별시,종로구,한식_육류,만족김치삼겹살,02-765-1298,서울특별시종로구종로53길7-2,생고기김치찌개(점심),9000,김치삽겹살(180g),15000,,,,
서울특별시,종로구,숙박업,호텔라와,02-741-4455,서울특별시종로구수표로26길3,평일(일~목)저녁,55000,금요일저녁,95000,토요일저녁,120000,,
서울특별시,종로구,미용업,현미용실,,서울특별시종로구지봉로17길12,커트,12000,파마,40000,,,,
서울특별시,종로구,한식_면류,인사동칼국수,02-737-1151,서울특별시종로구인사동5길25,칼국수,7500,된장찌개,7500,순두부,7500,,
서울특별시,종로구,미용업,믿음미용실,,서울특별시종로구계동길91,커트,8000,파마,25000,,,,
서울특별시,종로구,한식_일반,눈나무집,02-739-6742,서울특별시종로구삼청로136-1,김치말이국수,6500,김치볶음밥,6500,,,,
서울특별시,종로구,한식_일반,홍순두부,,서울특별시종로구명륜길501층,홍순두부,5500,순두부,6000,,,,
